tweet_id,entity,sentiment,tweet_content
1,Apple,Positive,"The new iPhone 15 Pro camera is absolutely stunning! Night mode has completely changed how I take photos"
2,Apple,Positive,"Just got my MacBook Air M2 and I am blown away by the performance. Best laptop I have ever owned"
3,Apple,Positive,"iOS 17 is a game changer. The new features are so intuitive and smooth. Love it!"
4,Apple,Positive,"Apple Watch saved my life - detected my irregular heartbeat and alerted me to see a doctor. Amazing technology"
5,Apple,Positive,"AirPods Pro 2 with the new hearing health features are fantastic. Best audio experience I have had"
6,Apple,Positive,"Finally switched from Android to iPhone and I cannot believe how seamlessly everything just works together"
7,Apple,Positive,"The MacBook battery life on M3 chip is incredible. All day computing on a single charge is phenomenal"
8,Apple,Negative,"Apple raised iPhone prices again while removing more features. Absolutely disgusted with this greedy company"
9,Apple,Negative,"Apple Store genius bar took 3 hours and they could not fix my MacBook. Terrible customer service experience"
10,Apple,Negative,"iOS update bricked my iPhone. Apple support is useless and unhelpful. Extremely frustrated right now"
11,Apple,Negative,"The new MacBook without USB-A ports is a joke. Apple forces you to buy overpriced dongles for everything"
12,Apple,Negative,"Apple repair prices are criminal. $800 to fix a cracked screen. They just want you to buy a new phone"
13,Apple,Negative,"Disappointed with Apple quality control. Multiple dead pixels on a brand new iPhone right out of the box"
14,Apple,Neutral,"Apple Inc reported quarterly revenue of $89.5 billion in its latest earnings report"
15,Apple,Neutral,"Apple announced a new recycling program for old devices at its environmental sustainability summit"
16,Apple,Neutral,"The Apple event starts at 10am PT. Tim Cook will present new product lineup"
17,Apple,Neutral,"Apple updated its privacy policy regarding third-party data collection practices"
18,Apple,Irrelevant,"I ate an apple for lunch today. It was crunchy and fresh from the farmers market"
19,Google,Positive,"Google Maps just got a massive update and it is now my favorite app. The live view AR feature is incredible"
20,Google,Positive,"Google Photos AI search finds any photo in seconds. The memory features make me emotional every time"
21,Google,Positive,"The Pixel 8 Pro camera is unbelievable. Google computational photography is on another level entirely"
22,Google,Positive,"Google Workspace has transformed how our team collaborates remotely. Cannot imagine working without it now"
23,Google,Positive,"Gemini AI assistant is genuinely impressive. It helped me write a complex report in half the usual time"
24,Google,Positive,"Google Translate saved me during my trip to Japan. Instant camera translation is like magic"
25,Google,Negative,"Google killed another great app. Why do they always abandon products people love? So frustrating"
26,Google,Negative,"Google Search results are getting worse. It is all ads and SEO spam now. Quality has declined badly"
27,Google,Negative,"Google privacy practices are deeply concerning. They track everything you do online without consent"
28,Google,Negative,"Google Support is nonexistent. Account got hacked and there is no way to reach a human being"
29,Google,Negative,"Google Maps routed me through a flooded road. Navigation can be unreliable and potentially dangerous"
30,Google,Negative,"Chrome browser has become a RAM hog that drains my battery. Used to be fast, now it is bloated"
31,Google,Neutral,"Google announced quarterly earnings with $76.7 billion in total revenue"
32,Google,Neutral,"Google is testing a new search interface with AI-generated summaries at the top of results"
33,Google,Neutral,"Google annual developer conference IO is scheduled for May this year"
34,Google,Neutral,"Google acquired a cybersecurity firm for approximately $500 million"
35,Google,Irrelevant,"I googled the nearest pizza place and walked there for dinner tonight"
36,Microsoft,Positive,"Microsoft Copilot in Windows 11 is a productivity revolution. Writing, coding, everything is faster"
37,Microsoft,Positive,"Azure is incredibly reliable and scalable. Best cloud platform for enterprise applications without a doubt"
38,Microsoft,Positive,"Visual Studio Code is hands down the best code editor ever made. Thank you Microsoft for keeping it free"
39,Microsoft,Positive,"Microsoft Teams meeting features keep getting better. The noise cancellation is absolutely brilliant"
40,Microsoft,Positive,"Microsoft Surface Pro 9 is the perfect laptop tablet hybrid. Build quality is exceptional"
41,Microsoft,Negative,"Windows 11 forced update broke my gaming PC. Microsoft does not care about user experience at all"
42,Microsoft,Negative,"Microsoft 365 subscription price increases are ridiculous. Used to be affordable, now it costs too much"
43,Microsoft,Negative,"Xbox servers are down again. This is completely unacceptable for a paid service we rely on"
44,Microsoft,Negative,"Microsoft Teams is bloated, slow, and crashes constantly. It is a mess compared to Slack"
45,Microsoft,Negative,"OneDrive keeps syncing files I never asked it to. Privacy settings are confusing and hard to manage"
46,Microsoft,Neutral,"Microsoft announced Satya Nadella will continue as CEO through the upcoming fiscal year"
47,Microsoft,Neutral,"Microsoft cloud gaming service Game Pass added 50 new titles to its catalog this month"
48,Microsoft,Neutral,"Microsoft reported net income of $21.9 billion in fiscal Q1 results"
49,Microsoft,Neutral,"Microsoft and OpenAI extended their strategic partnership agreement for continued AI development"
50,Amazon,Positive,"Amazon Prime delivery is incredible. Ordered at midnight and it arrived by noon the next day"
51,Amazon,Positive,"AWS is the backbone of the internet. Incredibly powerful and the documentation is excellent"
52,Amazon,Positive,"Amazon customer service refunded my damaged order instantly. No hassle and no questions asked"
53,Amazon,Positive,"The Echo Show 15 is a fantastic family hub. The smart home integration is seamless and intuitive"
54,Amazon,Positive,"Amazon Prime Video original content has been outstanding lately. Rings of Power was spectacular"
55,Amazon,Negative,"Amazon warehouse workers are being treated like machines. The working conditions are inhumane and unfair"
56,Amazon,Negative,"Amazon marketplace is flooded with fake reviews and counterfeit products. Cannot trust anything anymore"
57,Amazon,Negative,"My package was marked as delivered but never arrived. Amazon support gave me the runaround for two weeks"
58,Amazon,Negative,"Amazon price gouging on essential items during emergencies is disgusting. Corporate greed at its worst"
59,Amazon,Negative,"Prime subscription price keeps going up while the service quality goes down. Seriously considering canceling"
60,Amazon,Neutral,"Amazon announced plans to open 50 new distribution centers across North America"
61,Amazon,Neutral,"Amazon Web Services launched a new generative AI service at its annual re:Invent conference"
62,Amazon,Neutral,"Amazon Prime membership reached 200 million subscribers worldwide according to latest figures"
63,Amazon,Neutral,"Amazon acquired MGM Studios adding thousands of movies and shows to its streaming catalog"
64,Tesla,Positive,"Tesla Model 3 is the best car I have ever driven. Autopilot on the highway is genuinely incredible"
65,Tesla,Positive,"Just hit 300000 miles on my Tesla with minimal issues. The long-term reliability is truly outstanding"
66,Tesla,Positive,"Tesla Supercharger network is unmatched. Road trips in an electric vehicle have never been so easy"
67,Tesla,Positive,"The over the air software update last night added so many useful features. Tesla just keeps getting better"
68,Tesla,Positive,"Model Y acceleration never gets old. The instant torque is addictive and puts a huge smile on my face"
69,Tesla,Negative,"Tesla quality control is a disaster. Panel gaps, rattles, and paint issues straight from the factory floor"
70,Tesla,Negative,"Elon Musk tweets are destroying Tesla brand image. The stock drops every time he posts something controversial"
71,Tesla,Negative,"Tesla insurance doubled my rates with zero claims filed. Customer service is completely unresponsive"
72,Tesla,Negative,"Autopilot failed and almost caused a serious accident on the freeway. The self-driving hype is dangerous"
73,Tesla,Negative,"Cybertruck delivery delays are unacceptable. I have been waiting over two years for my reservation"
74,Tesla,Neutral,"Tesla delivered 466000 vehicles in Q3 slightly below analyst expectations"
75,Tesla,Neutral,"Tesla opened a new Gigafactory in Texas focusing primarily on Cybertruck production"
76,Tesla,Neutral,"Tesla stock rose 5 percent following positive earnings guidance from the company"
77,Tesla,Neutral,"Tesla announced a new version of Full Self-Driving software for North American markets"
78,Twitter,Positive,"Twitter is still the best platform for real-time breaking news and political commentary"
79,Twitter,Positive,"Twitter Communities are great for finding niche interests and connecting with like-minded people"
80,Twitter,Positive,"Love the new long-form posts on X. Finally able to share detailed thoughts without constant truncation"
81,Twitter,Negative,"Twitter is a cesspool of hate speech and misinformation since the ownership change. Absolute disaster"
82,Twitter,Negative,"Twitter charging for basic features that were always free is a complete betrayal of loyal users"
83,Twitter,Negative,"Twitter API pricing destroyed thousands of apps and bots built on the platform. Shortsighted and destructive"
84,Twitter,Negative,"X is hemorrhaging users and advertisers. The rebrand from Twitter has been a complete corporate disaster"
85,Twitter,Negative,"Content moderation on Twitter has completely collapsed. Verified blue ticks now mean absolutely nothing"
86,Twitter,Neutral,"Twitter reported monthly active users of 350 million in its latest quarterly report"
87,Twitter,Neutral,"Twitter rebranded to X under Elon Musk ownership following the acquisition"
88,Twitter,Neutral,"Twitter Blue subscription launched with new verification and exclusive features for paying members"
89,Netflix,Positive,"Stranger Things Season 4 was the best television I have watched in years. Incredible storytelling"
90,Netflix,Positive,"Netflix downloads for offline viewing is a lifesaver for long flights and my daily commute"
91,Netflix,Positive,"The Crown is brilliant television. Netflix keeps producing genuinely world-class original content"
92,Netflix,Positive,"Wednesday on Netflix was absolutely phenomenal. Jenna Ortega delivered a career-defining performance"
93,Netflix,Negative,"Netflix raised subscription prices again while overall content quality keeps declining. Canceling today"
94,Netflix,Negative,"Netflix removing password sharing is a greedy move that will cost them millions of loyal subscribers"
95,Netflix,Negative,"Netflix canceled another show right after I got completely invested in the characters and story"
96,Netflix,Negative,"The recommendation algorithm is completely broken. It keeps showing me the same content I already watched"
97,Netflix,Neutral,"Netflix added 5.9 million new subscribers in the latest quarter beating analyst expectations"
98,Netflix,Neutral,"Netflix announced a new interactive gaming feature integrated into its standard subscription service"
99,Meta,Positive,"Instagram Reels algorithm has gotten much better. Discovering amazing new creators I never would have found"
100,Meta,Positive,"Meta Quest 3 mixed reality headset is genuinely impressive. Productivity in VR is finally a reality"
101,Meta,Positive,"WhatsApp new business features have completely transformed how we handle customer communication at work"
102,Meta,Negative,"Meta data privacy practices are an absolute nightmare. They track everything and sell it to advertisers"
103,Meta,Negative,"Facebook has become a platform purely for misinformation and outrage. It is genuinely damaging society"
104,Meta,Negative,"Instagram is so cluttered with paid advertisements I can barely see organic posts from people I follow"
105,Meta,Negative,"Meta metaverse project has burned billions of dollars and delivered absolutely nothing of real value"
106,Meta,Neutral,"Meta reported 3.19 billion daily active users across its entire family of applications"
107,Meta,Neutral,"Meta launched a new AI assistant integrated across WhatsApp, Instagram, and Facebook Messenger"
108,Meta,Neutral,"Meta Oversight Board reviewed content moderation policies specifically regarding political speech"
